discrepancyNo,classKey,discrepancyCategory,inputName,inputList,libraryName,driverName,funcName,output,absErrs,relErrs,maxDeltaDiff
03ef3c72df6469ad33713b09e6f2e527,7.941394419399991,3,mpmath_fp_polylog_arg2_DRIVER0~input_num008,"[3.0, 0.9]",mpmath,mpmath_polylog_arg2_DRIVER0,polylog,1.04965895018644,"{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031028, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031006}","{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.1153976240148468e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.0726018430419668, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07260184304196658}",2
03ef3c72df6469ad33713b09e6f2e527,7.941394419399991,3,mpmath_fp_polylog_arg2_DRIVER0~input_num008,"[3.0, 0.9]",mpmath,mpmath_fp_polylog_arg2_DRIVER0,polylog,1.0496589501864397,"{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031028, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031006}","{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.1153976240148468e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.0726018430419668, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07260184304196658}",2
03ef3c72df6469ad33713b09e6f2e527,7.941394419399991,3,mpmath_fp_polylog_arg2_DRIVER0~input_num008,"[3.0, 0.9]",jmat,jmat_polylog_DRIVER0,polylog,0.9761212616961297,"{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031028, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07353768849031006}","{'mpmath_polylog_arg2_DRIVER0/mpmath_fp_polylog_arg2_DRIVER0': 2.1153976240148468e-16, 'mpmath_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.0726018430419668, 'mpmath_fp_polylog_arg2_DRIVER0/jmat_polylog_DRIVER0': 0.07260184304196658}",2
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],mpmath,mpmath_fac_arg1_DRIVER0,fac,-0.9453087204829419,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],mpmath,mpmath_factorial_arg1_DRIVER0,factorial,-0.9453087204829419,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],mpmath,mpmath_fp_fac_arg1_DRIVER0,fac,-0.9453087204829416,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],mpmath,mpmath_fp_factorial_arg1_DRIVER0,factorial,-0.9453087204829416,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],scipy,scipy_special_factorial_arg1_DRIVER0,factorial,0.0,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
0453316b84b5755ce0a58d4a8d27bd82,76.3057742941652,3,mpmath_fac_arg1_DRIVER0~input_num003,[-3.5],jmat,jmat_factorial_DRIVER0,factorial,-0.9453087204829418,"{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.3306690738754696e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829419, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 0.9453087204829416, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.220446049250313e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 0.9453087204829418}","{'mpmath_fac_arg1_DRIVER0/mpmath_factorial_arg1_DRIVER0': 0.0, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_fac_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 3.523366495734736e-16, 'mpmath_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 1.1744554985782454e-16, 'mpmath_fp_fac_arg1_DRIVER0/mpmath_fp_factorial_arg1_DRIVER0': 0.0, 'mpmath_fp_fac_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_fac_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'mpmath_fp_factorial_arg1_DRIVER0/scipy_special_factorial_arg1_DRIVER0': 2.0, 'mpmath_fp_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.348910997156491e-16, 'scipy_special_factorial_arg1_DRIVER0/jmat_factorial_DRIVER0': 2.0}",5
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],mpmath,mpmath_fac_arg1_DRIVER0,fac,nan,,,5
