GSL,mpmath,SciPy,JMAT,# mappings incl aliases,gsl/mpmath,gsl/scipy,mpmath/scipy,gsl/jmat,mpmath/jmat,scipy/jmat,aliases,notes
"double gsl_sf_bessel_Jn(int n, double x)","mpmath.besselj(n, x)","jv(v, z) & jve(v, z) ",besselj: [nu z] & angerj: [nu z],15,1,2,2,1,1,2,1,tolerance
"double gsl_sf_bessel_Yn(int n, double x)","mpmath.bessely(n, x)","yn(n, x) & yv(v,z) & yve(v,z)",bessely: [nu z],15,1,3,3,1,1,3,3,
double gsl_sf_psi(double x),mpmath.digamma(z),psi(z) & digamma(z) ,digamma: [z],10,1,2,2,0,1,0,1,
"double gsl_sf_bessel_Jnu(double nu, double x)","mpmath.besselj(n, x)","jv(v, z) & jve(v, z) ",besselj: [nu z],10,1,2,2,1,1,2,1,
"double gsl_sf_bessel_Kn(int n, double x)","mpmath.besselk(n, x)","kn(n, x) & kv(v, z) ",besselk: [nu z],10,1,2,2,1,1,2,1,
"double gsl_sf_bessel_Ynu(double nu, double x)","mpmath.bessely(n, x)","yv(v, z) & yve(v, z) ",bessely: [nu z],10,1,2,2,1,1,2,1,
"double gsl_sf_beta_inc(double a, double b, double x)",-,"betainc(a, b, x) & btdtr(a, b, x)",beta_i: [x a b] & cdf_beta: [x alpha beta],10,-,2,-,0,-,0,1,"parameter, inputs cause exception"
"double gsl_sf_bessel_In(int n, double x)","mpmath.besseli(n, x)","iv(v, z)",besseli: [nu z],6,1,1,1,0,0,1,-,tolerance
"double gsl_sf_bessel_Inu(double nu, double x)","mpmath.besseli(n, x)","iv(v, z) ",besseli: [nu z],6,1,1,1,1,1,1,-,
"double gsl_sf_bessel_Knu(double nu, double x)","mpmath.besselk(n, x)","kv(v, z) ",besselk: [nu z],6,1,1,1,1,1,1,-,
"double gsl_sf_beta(double a, double b)","mpmath.beta(x, y)","beta(a, b) ",beta: [x y],6,1,1,1,1,1,1,-,
double gsl_sf_erf(double x),"mpmath.erf(x, **kwargs)",erf(z) ,erf: [z],6,1,1,1,1,1,1,-,
double gsl_sf_erfc(double x),"mpmath.erfc(x, **kwargs)",erfc(x) ,erfc: [z],6,1,1,1,1,1,1,-,
double gsl_sf_gamma(double x),"mpmath.gamma(x, **kwargs) & mpmath.gammainc(x, a=0)",gamma(z) ,gamma: [z],10,2,1,2,1,2,1,1,
"double gsl_sf_hyperg_0F1(double c, double x)","mpmath.hyp0f1(a, z)","hyp0f1(v, x) ",hypergeometric0F1: [a z],6,1,1,1,1,1,1,-,
