FUNCTION SIGNATURE,Captured?,not present in test,present as lambda exp,given unrecognized inputs,purposely ignored
"mpmath.acos(x, **kwargs)",x,,,,
"mpmath.acosh(x, **kwargs)",x,,,,
mpmath.acot(x),x,,,,
mpmath.acoth(x),x,,,,
mpmath.acsc(x),x,,,,
mpmath.acsch(x),x,,,,
mpmath.agm(a),x,,,,
"mpmath.agm(a, b=1)",x,,,,
"mpmath.airyai(z, derivative=0, **kwargs)",,x,,,
"mpmath.airyaizero(k, derivative=0)",,x,,,
"mpmath.airybi(z, derivative=0, **kwargs)",,x,,,
"mpmath.airybizero(k, derivative=0)",,x,,,
mpmath.airyai(z),x,,,,
mpmath.airyaizero(k),,x,,,
mpmath.airybi(z),x,,,,
mpmath.airybizero(k),,x,,,
mpmath.altzeta(s),x,,,,
"mpmath.angerj(v, z, **kwargs)",,x,,,
"mpmath.appellf1(a, b1, b2, c, x, y, **kwargs)",x,,,,
"mpmath.appellf2(a, b1, b2, c1, c2, x, y, **kwargs)",,x,,,
"mpmath.appellf3(a1, a2, b1, b2, c, x, y, **kwargs)",,x,,,
"mpmath.appellf4(a, b, c1, c2, x, y, **kwargs)",,x,,,
mpmath.asec(x),x,,,,
mpmath.asech(x),x,,,,
"mpmath.asin(x, **kwargs)",x,,,,
"mpmath.asinh(x, **kwargs)",x,,,,
"mpmath.atan(x, **kwargs)",x,,,,
"mpmath.atan2(y, x)",x,,,,
"mpmath.atanh(x, **kwargs)",x,,,,
mpmath.backlunds(t),,x,,,
mpmath.barnesg(z),x,,,,
"mpmath.bei(n, z, **kwargs)",x,,,,
"mpmath.bell(n, x)",x,,,,
"mpmath.ber(n, z, **kwargs)",x,,,,
mpmath.bernoulli(n),x,,,,
"mpmath.bernpoly(n, z)",x,,,,
"mpmath.besseli(n, x, derivative=0)",,x,,,
"mpmath.besselj(n, x, derivative=0)",,x,,,
"mpmath.besseljzero(v, m, derivative=0)",x,,,,
"mpmath.besseli(n, x)",x,,,,
"mpmath.besselj(n, x)",x,,,,
"mpmath.besseljzero(v, m)",x,,,,
"mpmath.besselk(n, x)",x,,,,
"mpmath.bessely(n, x)",x,,,,
"mpmath.besselyzero(v, m)",x,,,,
"mpmath.bessely(n, x, derivative=0)",,x,,,
"mpmath.besselyzero(v, m, derivative=0)",x,,,,
"mpmath.beta(x, y)",x,,,,
"mpmath.betainc(a, b)",,x,,,
"mpmath.betainc(a, b, x2=1)",,x,,,
"mpmath.betainc(a, b, x1=0)",,x,,,
"mpmath.betainc(a, b, x1=0, x2=1)",x,,,,
"mpmath.binomial(n, k)",x,,,,
"mpmath.cbrt(x, **kwargs)",x,,,,
"mpmath.chebyt(n, x)",x,,,,
"mpmath.chebyu(n, x)",x,,,,
"mpmath.chi(x, **kwargs)",x,,,,
"mpmath.ci(x, **kwargs)",x,,,,
"mpmath.clcos(s, z)",,x,,,
"mpmath.clsin(s, z)",,x,,,
"mpmath.cos(x, **kwargs)",x,,,,
"mpmath.cosh(x, **kwargs)",x,,,,
"mpmath.cospi(x, **kwargs)",x,,,,
mpmath.cot(x),x,,,,
mpmath.coth(x),x,,,,
"mpmath.coulombc(l, eta)",,x,,,
"mpmath.coulombf(l, eta, z)",,,x,,
"mpmath.coulombg(l, eta, z)",,,x,x,
mpmath.csc(x),x,,,,
mpmath.csch(x),x,,,,
"mpmath.cyclotomic(n, x)",x,,,,
mpmath.degrees(x),x,,,,
"mpmath.e1(x, **kwargs)",x,,,,
"mpmath.ei(x, **kwargs)",x,,,,
mpmath.ellipe(a),x,,,,
"mpmath.ellipe(a, b)",,x,,,
"mpmath.ellipf(phi, m)",,x,,,
"mpmath.ellipk(m, **kwargs)",x,,,,
"mpmath.ellippi(a, b)",,x,,,
"mpmath.ellippi(a, b, c)",,x,,,
"mpmath.elliprc(x, y)",x,,,,
"mpmath.elliprd(x, y, z)",x,,,,
"mpmath.elliprf(x, y, z)",x,,,,
"mpmath.elliprg(x, y, z)",x,,,,
"mpmath.elliprj(x, y, z, p)",x,,,,
"mpmath.erf(x, **kwargs)",x,,,,
"mpmath.erfc(x, **kwargs)",x,,,,
mpmath.erfi(x),x,,,,
mpmath.erfinv(x),x,,,,
mpmath.eulernum(n),,x,,,
"mpmath.eulerpoly(n, z)",x,,,,
"mpmath.exp(x, **kwargs)",x,,,,
"mpmath.expint(a,b)",x,,,,
mpmath.expm1(x),x,,,,
mpmath.fac2(x),x,,,,
"mpmath.factorial(x, **kwargs)",x,,,,
"mpmath.ff(x, n)",x,,,,
"mpmath.fibonacci(n, **kwargs)",x,,,,
mpmath.fresnelc(x),,,,x,
mpmath.fresnels(x),,,,x,
"mpmath.gamma(x, **kwargs)",x,,,,
"mpmath.gammainc(z, a=0)",x,,,,
"mpmath.gammainc(z, b=inf)",,x,,,
"mpmath.gammainc(z, a=0, b=inf)",x,,,,
"mpmath.gegenbauer(n, a, z)",x,,,,
mpmath.grampoint(n),,x,,,
mpmath.harmonic(z),x,,,,
"mpmath.hermite(n, z)",x,,,,
"mpmath.hyp0f1(a, z)",x,,,,
"mpmath.hyp1f1(a, b, z)",x,,,,
"mpmath.hyp1f2(a1, b1, b2, z)",x,,,,
"mpmath.hyp2f0(a, b, z)",x,,,,
"mpmath.hyp2f1(a, b, c, z)",x,,,,
"mpmath.hyp2f2(a1, a2, b1, b2, z)",x,,,,
"mpmath.hyp2f3(a1, a2, b1, b2, b3, z)",x,,,,
"mpmath.hyp3f2(a1, a2, a3, b1, b2, z)",,x,,,
mpmath.hyperfac(z),x,,,,
"mpmath.hyperu(a, b, z)",x,,,,
"mpmath.hypot(x, y)",x,,,,
mpmath.j0(x),x,,,,
mpmath.j1(x),x,,,,
"mpmath.jacobi(n, a, b, z)",x,,,,
"mpmath.jtheta(n, z, q)",x,,,,
"mpmath.jtheta(n, z, q, derivative=0)",x,,,,
