FUNCTION SIGNATURE,Captured?,not present in test,in unrecognized test harness,given unrecognized inputs
"agm(a, b) ",x,,,
"assoc_laguerre(x, n) ",,x,,
"assoc_laguerre(x, n, k) ",x,,,
"bdtr(k, n, p) ",x,,,
"bdtrc(k, n, p)",x,,,
"bdtri(k, n, y)",x,,,
"bdtrik(y, n, p)",x,,,
"bdtrin(k, y, p)",x,,,
bei(x) ,x,,,
beip(x) ,x,,,
ber(x) ,x,,,
berp(x) ,x,,,
"besselpoly(a, lmb, nu)",x,,,
"beta(a, b) ",x,,,
"betainc(a, b, x) ",x,,,
"betaincinv(a, b, y) ",x,,,
"betaln(a, b) ",x,,,
"binom(n, k) ",,,"x
",
"boxcox(x, lmbda) ",x,,,
"boxcox1p(x, lmbda) ",x,,,
"btdtr(a, b, x)",x,,,
"btdtri(a, b, p)",x,,,
"btdtria(p, b, x)",x,,,
"btdtrib(a, p, x)",x,,,
cbrt(x) ,x,,,
"chdtr(v, x)",x,,,
"chdtrc(v, x)",x,,,
"chdtri(v, p)",x,,,
"chdtriv(p, x)",x,,,
"chndtr(x, df, nc)",x,,,
"chndtridf(x, p, nc)",x,,,
"chndtrinc(x, df, p)",x,,,
"chndtrix(p, df, nc)",x,,,
"comb(N, k) ",x,,,
cosdg(x) ,x,,,
cosm1(x) ,x,,,
cotdg(x) ,x,,,
dawsn(x) ,x,,,
digamma(z) ,x,,,
"ellip_harm_2(h2, k2, n, p, s) ",x,,,
"ellip_harm(h2, k2, n, p, s) ",,,,x
"ellip_normal(h2, k2, n, p) ",,,"x
",
ellipe(m) ,x,,,
"ellipeinc(phi, m)",x,,,
ellipk(m) ,x,,,
"ellipkinc(phi, m) ",x,,,
ellipkm1(p) ,x,,,
entr(x) ,,,"x
",
erf(z) ,x,,,
erfc(x) ,x,,,
erfcinv(y) ,x,,,
erfcx(x) ,,,"x
",
erfi(z) ,,,"x
",
erfinv(y) ,x,,,
"eval_chebyc(n, x) ",,,"x
",
"eval_chebys(n, x) ",,,"x
",
"eval_chebyt(n, x) ",x,,,
"eval_chebyu(n, x) ",,,x,
"eval_gegenbauer(n, alpha, x) ",x,,,
"eval_genlaguerre(n, alpha, x) ",x,,,
"eval_hermite(n, x) ",x,,,
"eval_hermitenorm(n, x) ",,,"x
",
"eval_jacobi(n, alpha, beta, x) ",,,"x
",
"eval_laguerre(n, x) ",x,,,
"eval_legendre(n, x) ",x,,,
"eval_sh_chebyt(n, x) ",,,"x
",
"eval_sh_chebyu(n, x) ",,,"x
",
"eval_sh_jacobi(n, p, q, x) ",,,"x
",
"eval_sh_legendre(n, x) ",,,"x
",
exp1(z) ,x,,,
exp10(x) ,x,,,
exp2(x) ,x,,,
expi(x) ,x,,,
